Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,174,48.0,+0:35,,28.0,Gebreigzabhier Amanuel,12,Team Dimension Data,0:32 0:32,\u25b216,1,2018
23,16,49.0,+0:36,,30.0,Ravasi Edward,13,UAE-Team Emirates,0:33 0:33,\u25b217,1,2018
23,136,52.0,+0:36,,32.0,Power Robert,14,Mitchelton-Scott,",, 0:33",\u25b218,1,2018
24,161,59.0,+0:46,,38.0,Martin Guillaume,15,Wanty - Groupe Gobert,0:43 0:43,\u25b223,1,2018
23,164,64.0,+0:52,,43.0,Eiking Odd Christian,16,Wanty - Groupe Gobert,0:49 0:49,\u25b227,1,2018
24,181,69.0,+1:15,,29.0,Tolhoek Antwan,17,Team LottoNL-Jumbo,1:12 1:12,\u25b212,1,2018
21,185,73.0,+1:33,,4.0,Powless Neilson,18,Team LottoNL-Jumbo,1:30 1:30,\u25bc14,1,2018
23,23,76.0,+1:37,,8.0,Geoghegan Hart Tao,19,Team Sky,1:34 1:34,\u25bc11,1,2018
22,94,80.0,+1:42,,12.0,Castrillo Jaime,20,Movistar Team,1:39 1:39,\u25bc8,1,2018
22,53,81.0,+1:42,,14.0,Garcia Cortina Ivan,21,Bahrain Merida Pro Cycling Team,",, 1:39",\u25bc7,1,2018
24,132,89.0,+2:46,,2.0,Edmondson Alexander,22,Mitchelton-Scott,2:43 2:43,\u25bc20,1,2018
25,167,93.0,+3:07,,23.0,Smith Dion,23,Wanty - Groupe Gobert,3:04 3:04,-,1,2018
23,215,99.0,+3:26,,42.0,Manzin Lorrenzo,24,Vital Concept Cycling Club,3:23 3:23,\u25b218,1,2018
21,103,102.0,+3:42,,41.0,Jakobsen Fabio,25,Quick-Step Floors,3:39 3:39,\u25b216,1,2018
25,34,103.0,+3:56,,21.0,Gougeard Alexis,26,AG2R La Mondiale,3:53 3:53,\u25bc5,1,2018
24,43,104.0,+4:04,,7.0,Bohli Tom,27,BMC Racing Team,4:01 4:01,\u25bc20,1,2018
24,87,105.0,+4:04,,31.0,Turgis Anthony,28,"Cofidis, Solutions Cr\xe9dits",",, 4:01",\u25b23,1,2018
23,184,108.0,+4:14,,39.0,Kuss Sepp,29,Team LottoNL-Jumbo,4:11 4:11,\u25b210,1,2018
22,116,116.0,+4:48,,3.0,Thomas Benjamin,30,Groupama - FDJ,4:45 4:45,\u25bc27,1,2018
23,127,120.0,+5:02,,22.0,Restrepo Jhonatan,31,Team Katusha - Alpecin,4:59 4:59,\u25bc9,1,2018
25,15,127.0,+5:14,,34.0,Petilli Simone,32,UAE-Team Emirates,5:11 5:11,\u25b22,1,2018
22,173,128.0,+5:15,,36.0,Dlamini Nickolas,33,Team Dimension Data,5:12 5:12,\u25b23,1,2018
23,192,134.0,+6:30,,15.0,Bauhaus Phil,34,Team Sunweb,6:27 6:27,\u25bc19,1,2018
22,213,136.0,+6:53,,6.0,Ermenault Corentin,35,Vital Concept Cycling Club,6:50 6:50,\u25bc29,1,2018
24,197,138.0,+7:09,,13.0,Tusveld Martijn,36,Team Sunweb,7:06 7:06,\u25bc23,1,2018
23,123,141.0,+7:21,,27.0,Fabbro Matteo,37,Team Katusha - Alpecin,7:18 7:18,\u25bc10,1,2018
22,105,144.0,+7:32,,35.0,Knox James,38,Quick-Step Floors,7:29 7:29,\u25bc3,1,2018
24,112,146.0,+9:18,,19.0,Armirail Bruno,39,Groupama - FDJ,9:15 9:15,\u25bc20,1,2018
21,111,147.0,+9:25,,25.0,Gaudu David,40,Groupama - FDJ,9:22 9:22,\u25bc15,1,2018
24,57,148.0,+9:33,,37.0,Pibernik Luka,41,Bahrain Merida Pro Cycling Team,9:30 9:30,\u25bc4,1,2018
23,205,151.0,+22:07,,40.0,Guerreiro Ruben,42,Trek - Segafredo,22:04 22:04,\u25bc2,1,2018
24,25,3.0,+0:05,,1.0,Moscon Gianni,1,Team Sky,8:51:51 8:51:51,-,2,2018
22,102,11.0,+0:17,,2.0,De Plus Laurens,2,Quick-Step Floors,0:12 0:12,-,2,2018
24,91,17.0,+0:22,,3.0,Soler Marc,3,Movistar Team,0:17 0:17,-,2,2018
22,133,23.0,+0:25,,4.0,Hamilton Lucas,4,Mitchelton-Scott,0:20 0:20,-,2,2018
24,62,24.0,+0:25,,10.0,Ackermann Pascal,5,BORA - hansgrohe,",, 0:20",\u25b25,2,2018
22,117,25.0,+0:25,,5.0,Vincent L\xe9o,6,Groupama - FDJ,",, 0:20",\u25bc1,2,2018
24,71,27.0,+0:26,,6.0,Benoot Tiesj,7,Lotto Soudal,0:21 0:21,\u25bc1,2,2018
25,96,28.0,+0:27,,7.0,Roson Jaime,8,Movistar Team,0:22 0:22,\u25bc1,2,2018
24,35,30.0,+0:28,,8.0,Latour Pierre,9,AG2R La Mondiale,0:23 0:23,\u25bc1,2,2018
25,13,31.0,+0:29,,9.0,Conti Valerio,10,UAE-Team Emirates,0:24 0:24,\u25bc1,2,2018
23,174,43.0,+0:37,,12.0,Gebreigzabhier Amanuel,11,Team Dimension Data,0:32 0:32,\u25b21,2,2018
24,16,44.0,+0:38,,13.0,Ravasi Edward,12,UAE-Team Emirates,0:33 0:33,\u25b21,2,2018
23,136,46.0,+0:38,,14.0,Power Robert,13,Mitchelton-Scott,",, 0:33",\u25b21,2,2018
24,161,51.0,+0:48,,15.0,Martin Guillaume,14,Wanty - Groupe Gobert,0:43 0:43,\u25b21,2,2018
23,164,55.0,+0:54,,16.0,Eiking Odd Christian,15,Wanty - Groupe Gobert,0:49 0:49,\u25b21,2,2018
24,181,58.0,+1:17,,17.0,Tolhoek Antwan,16,Team LottoNL-Jumbo,1:12 1:12,\u25b21,2,2018
21,185,61.0,+1:35,,18.0,Powless Neilson,17,Team LottoNL-Jumbo,1:30 1:30,\u25b21,2,2018
23,23,63.0,+1:39,,19.0,Geoghegan Hart Tao,18,Team Sky,1:34 1:34,\u25b21,2,2018
25,167,68.0,+3:09,,23.0,Smith Dion,19,Wanty - Groupe Gobert,3:04 3:04,\u25b24,2,2018
25,34,72.0,+3:58,,26.0,Gougeard Alexis,20,AG2R La Mondiale,3:53 3:53,\u25b26,2,2018
23,184,75.0,+4:16,,29.0,Kuss Sepp,21,Team LottoNL-Jumbo,4:11 4:11,\u25b28,2,2018
23,127,79.0,+5:04,,31.0,Restrepo Jhonatan,22,Team Katusha - Alpecin,4:59 4:59,\u25b29,2,2018
25,15,80.0,+5:16,,32.0,Petilli Simone,23,UAE-Team Emirates,5:11 5:11,\u25b29,2,2018
22,53,94.0,+7:06,,21.0,Garcia Cortina Ivan,24,Bahrain Merida Pro Cycling Team,7:01 7:01,\u25bc3,2,2018
23,123,102.0,+8:18,,37.0,Fabbro Matteo,25,Team Katusha - Alpecin,8:13 8:13,\u25b212,2,2018
22,105,104.0,+8:38,,38.0,Knox James,26,Quick-Step Floors,8:33 8:33,\u25b212,2,2018
24,87,107.0,+9:28,,28.0,Turgis Anthony,27,"Cofidis, Solutions Cr\xe9dits",9:23 9:23,\u25b21,2,2018
22,116,113.0,+10:12,,30.0,Thomas Benjamin,28,Groupama - FDJ,10:07 10:07,\u25b22,2,2018
23,93,119.0,+11:31,,11.0,Carretero H\xe9ctor,29,Movistar Team,11:26 11:26,\u25bc18,2,2018
22,94,122.0,+12:40,,20.0,Castrillo Jaime,30,Movistar Team,12:35 12:35,\u25bc10,2,2018
21,103,123.0,+12:45,,25.0,Jakobsen Fabio,31,Quick-Step Floors,12:40 12:40,\u25bc6,2,2018
24,132,126.0,+13:44,,22.0,Edmondson Alexander,32,Mitchelton-Scott,13:39 13:39,\u25bc10,2,2018
24,112,128.0,+14:42,,39.0,Armirail Bruno,33,Groupama - FDJ,14:37 14:37,\u25b26,2,2018
