Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
33,183,120.0,+1:56:18,,163.0,Keisse Iljo,120,Etixx - Quick Step,1:56:18 1:56:18,+2:49,,,\u25b243,12,2016
33,161,121.0,+1:57:46,,162.0,Greipel Andr\xe9,121,Lotto Soudal,1:57:46 1:57:46,+4:25,,,\u25b241,12,2016
36,63,122.0,+1:58:16,,122.0,Irizar Markel,122,Trek - Segafredo,1:58:16 1:58:16,+18:32,,,-,12,2016
27,19,123.0,+1:58:22,,123.0,Oliveira Nelson,123,Movistar Team,1:58:22 1:58:22,+18:32,,,-,12,2016
31,82,124.0,+1:59:24,,126.0,Breschel Matti,124,Cannondale-Drapac Pro Cycling Team,1:59:24 1:59:24,+18:32,,,\u25b22,12,2016
25,207,125.0,+1:59:34,,111.0,Matthews Michael,125,ORICA-BikeExchange,1:59:34 1:59:34,+23:19,,,\u25bc14,12,2016
36,64,126.0,+2:01:24,,127.0,Rast Gregory,126,Trek - Segafredo,2:01:24 2:01:24,+20:20,,,\u25b21,12,2016
24,188,127.0,+2:01:30,,136.0,Vakoc Petr,127,Etixx - Quick Step,2:01:30 2:01:30,+16:21,,,\u25b29,12,2016
35,62,128.0,+2:01:38,,129.0,Cancellara Fabian,128,Trek - Segafredo,2:01:38 2:01:38,+18:32,,,\u25b21,12,2016
36,112,129.0,+2:02:00,,117.0,Curvers Roy,129,Team Giant - Alpecin,2:02:00 2:02:00,+23:19,,,\u25bc12,12,2016
38,204,130.0,+2:02:23,,128.0,Hayman Mathew,130,ORICA-BikeExchange,2:02:23 2:02:23,+20:20,,,\u25bc2,12,2016
28,87,131.0,+2:02:27,,133.0,Navardauskas Ramunas,131,Cannondale-Drapac Pro Cycling Team,2:02:27 2:02:27,+18:32,,,\u25b22,12,2016
35,44,132.0,+2:02:42,,120.0,Dumoulin Samuel,132,AG2R La Mondiale,2:02:42 2:02:42,+23:19,,,\u25bc12,12,2016
31,168,133.0,+2:03:25,,125.0,Roelandts Jurgen,133,Lotto Soudal,2:03:25 2:03:25,+23:19,,,\u25bc8,12,2016
30,76,134.0,+2:03:34,,130.0,Hollenstein Reto,134,IAM Cycling,2:03:34 2:03:34,+20:20,,,\u25bc4,12,2016
33,197,135.0,+2:04:45,,183.0,Lemoine Cyril,135,"Cofidis, Solutions Cr\xe9dits",2:04:45 2:04:45,+5:00,,,\u25b248,12,2016
35,104,136.0,+2:05:10,,135.0,Cummings Stephen,136,Team Dimension Data,2:05:10 2:05:10,+20:20,,,\u25bc1,12,2016
39,148,137.0,+2:05:42,,137.0,Vicioso \xc1ngel,137,Team Katusha,2:05:42 2:05:42,+20:20,,,-,12,2016
35,3,138.0,+2:05:45,,141.0,Kiryienka Vasil,138,Team Sky,2:05:45 2:05:45,+18:32,,,\u25b23,12,2016
25,68,139.0,+2:06:30,,152.0,Theuns Edward,139,Trek - Segafredo,2:06:30 2:06:30,+16:21,,,\u25b213,12,2016
31,152,140.0,+2:06:44,,131.0,Arashiro Yukiya,140,Lampre - Merida,2:06:44 2:06:44,+23:19,,,\u25bc9,12,2016
22,75,141.0,+2:07:13,,132.0,Enger Sondre Holst,141,IAM Cycling,2:07:13 2:07:13,+23:19,,,\u25bc9,12,2016
27,215,142.0,+2:07:57,,134.0,Fonseca Armindo,142,Fortuneo - Vital Concept,2:07:57 2:07:57,+23:19,,,\u25bc8,12,2016
35,202,143.0,+2:09:13,,138.0,Albasini Michael,143,ORICA-BikeExchange,2:09:13 2:09:13,+23:19,,,\u25bc5,12,2016
28,199,144.0,+2:09:26,,161.0,Soupe Geoffrey,144,"Cofidis, Solutions Cr\xe9dits",2:09:26 2:09:26,+16:21,,,\u25b217,12,2016
34,122,145.0,+2:09:35,,139.0,Bonnet William,145,FDJ,2:09:35 2:09:35,+23:19,,,\u25bc6,12,2016
27,206,146.0,+2:09:35,,145.0,Juul-Jensen Christopher,146,ORICA-BikeExchange,",, 2:09:35",+20:20,,,\u25bc1,12,2016
23,196,147.0,+2:09:55,,144.0,Laporte Christophe,147,"Cofidis, Solutions Cr\xe9dits",2:09:55 2:09:55,+20:58,,,\u25bc3,12,2016
