Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,,168,128.0,+17:45,,Reijnen Kiel,150,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
30,,43,136.0,+20:58,,Bos Theo,151,Belkin-Pro Cycling Team,10:20 10:20,,2,2014
33,,52,,+ -6:43:30,,Boucher David,DNF,FDJ.fr,-3:30:07 -3:30:07,,2,2014
22,48.56399999999999,111,135.0,+24:12,30.0,Hepburn Michael,1,Orica GreenEDGE,13:28 13:28,20.0,3,2014
28,48.504,41,3.0,+0:24,18.0,Boom Lars,2,Belkin-Pro Cycling Team,0:01 0:01,14.0,3,2014
33,48.206,121,79.0,+11:24,12.0,Bennati Daniele,3,Tinkoff - Saxo,0:06 0:06,8.0,3,2014
32,48.206,11,53.0,+7:31,7.0,Cancellara Fabian,4,Trek Factory Racing,",, 0:06",7.0,3,2014
29,48.088,6,1.0,+0:00,4.0,Terpstra Niki,5,Omega Pharma - Quick-Step,0:08 0:08,6.0,3,2014
35,47.971000000000004,103,32.0,+2:50,3.0,Elmiger Martin,6,IAM Cycling,0:10 0:10,5.0,3,2014
22,47.795,7,6.0,+0:45,2.0,van Keirsbulck Guillaume,7,Omega Pharma - Quick-Step,0:13 0:13,4.0,3,2014
31,47.678999999999995,31,12.0,+1:21,1.0,Gilbert Philippe,8,BMC Racing Team,0:15 0:15,2.0,3,2014
33,47.621,117,54.0,+7:41,,Mouris Jens,9,Orica GreenEDGE,0:16 0:16,,3,2014
33,47.56399999999999,5,13.0,+1:23,,Steegmans Gert,10,Omega Pharma - Quick-Step,0:17 0:17,,3,2014
26,47.56399999999999,67,5.0,+0:35,,Stannard Ian,11,Team Sky,",, 0:17",,3,2014
28,47.506,47,33.0,+2:54,,van Emden Jos,12,Belkin-Pro Cycling Team,0:18 0:18,,3,2014
25,47.449,17,96.0,+17:56,,Sergent Jesse,13,Trek Factory Racing,0:19 0:19,,3,2014
34,47.277,116,56.0,+7:47,,Lancaster Brett,14,Orica GreenEDGE,0:22 0:22,,3,2014
33,47.277,1,4.0,+0:28,,Boonen Tom,15,Omega Pharma - Quick-Step,",, 0:22",,3,2014
34,47.22,13,57.0,+7:48,,Irizar Markel,16,Trek Factory Racing,0:23 0:23,,3,2014
28,47.22,37,37.0,+3:09,,Van Avermaet Greg,17,BMC Racing Team,",, 0:23",,3,2014
23,47.22,33,38.0,+3:09,,Dillier Silvan,18,BMC Racing Team,",, 0:23",,3,2014
26,47.163000000000004,122,97.0,+18:01,,Boaro Manuele,19,Tinkoff - Saxo,0:24 0:24,,3,2014
28,47.163000000000004,26,2.0,+0:21,,Roelandts Jurgen,20,Lotto Belisol,",, 0:24",,3,2014
22,47.05,51,15.0,+1:32,,D\xe9mare Arnaud,21,FDJ.fr,0:26 0:26,,3,2014
29,47.05,8,9.0,+0:58,,Vandenbergh Stijn,22,Omega Pharma - Quick-Step,",, 0:26",,3,2014
26,46.882,87,77.0,+11:17,,Smukulis Gatis,23,Team Katusha,0:29 0:29,,3,2014
31,46.77,21,17.0,+1:37,,Greipel Andr\xe9,24,Lotto Belisol,0:31 0:31,,3,2014
31,46.77,27,8.0,+0:49,,Sieberg Marcel,25,Lotto Belisol,",, 0:31",,3,2014
36,46.714,46,51.0,+6:11,,Tjallingii Maarten,26,Belkin-Pro Cycling Team,0:32 0:32,,3,2014
27,46.493,104,44.0,+3:59,,Goddaert Kristof,27,IAM Cycling,0:36 0:36,,3,2014
34,46.493,22,18.0,+1:42,,Bak Lars Ytting,28,Lotto Belisol,",, 0:36",,3,2014
31,46.438,3,19.0,+1:43,,Keisse Iljo,29,Omega Pharma - Quick-Step,0:37 0:37,,3,2014
28,46.438,128,7.0,+0:49,,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,",, 0:37",,3,2014
31,46.438,78,58.0,+8:02,,Westra Lieuwe,31,Astana Pro Team,",, 0:37",,3,2014
27,46.438,144,99.0,+18:14,,Gaudin Damien,32,AG2R La Mondiale,",, 0:37",,3,2014
24,46.383,113,72.0,+9:43,,Howard Leigh,33,Orica GreenEDGE,0:38 0:38,,3,2014
27,46.383,186,100.0,+18:15,,Pliuschin Alexandr,34,Skydive Dubai Pro Cycling Team,",, 0:38",,3,2014
25,46.383,133,31.0,+2:46,,Jarc Bla\u017e,35,Team NetApp \u2013 Endura,",, 0:38",,3,2014
27,46.328,36,16.0,+1:34,,Schar Michael,36,BMC Racing Team,0:39 0:39,,3,2014
25,46.328,174,80.0,+11:57,,Coledan Marco,37,Bardiani - CSF Pro Team,",, 0:39",,3,2014
27,46.328,92,101.0,+18:16,,De Marchi Alessandro,38,Cannondale,",, 0:39",,3,2014
23,46.273999999999994,66,34.0,+2:56,,Rowe Luke,39,Team Sky,0:40 0:40,,3,2014
