Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,64,53,+14:39,21.0,Howson Damien,13,ORICA-Scott,12:09 12:09,\u25b28,6,2017
24,58,56,+16:43,6.0,S\xfctterlin Jasha,14,Movistar Team,14:13 14:13,\u25bc8,6,2017
25,154,59,+17:30,14.0,Canty Brendan,15,Cannondale-Drapac Pro Cycling Team,15:00 15:00,\u25bc1,6,2017
22,88,63,+18:13,20.0,Vermeulen Alexey,16,Team LottoNL-Jumbo,15:43 15:43,\u25b24,6,2017
23,194,65,+19:02,12.0,Herklotz Silvio,17,BORA - hansgrohe,16:32 16:32,\u25bc5,6,2017
23,86,71,+20:38,34.0,Tolhoek Antwan,18,Team LottoNL-Jumbo,18:08 18:08,\u25b216,6,2017
24,75,72,+21:12,32.0,Lutsenko Alexey,19,Astana Pro Team,18:42 18:42,\u25b213,6,2017
21,174,74,+21:20,29.0,O'Connor Ben,20,Team Dimension Data,18:50 18:50,\u25b29,6,2017
23,97,78,+22:10,31.0,Turgis Anthony,21,"Cofidis, Solutions Cr\xe9dits",19:40 19:40,\u25b210,6,2017
25,122,80,+22:34,19.0,Bystr\xf8m Sven Erik,22,Team Katusha - Alpecin,20:04 20:04,\u25bc3,6,2017
