Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
32,,132,37.0,+0:10,,Fr\xf6hlinger Johannes,34,Team Sunweb,",, ,,",,1,2018
28,,14,38.0,+0:10,,Majka Rafa\u0142,35,BORA - hansgrohe,",, ,,",,1,2018
40,,74,39.0,+0:10,,Hayman Mathew,36,Mitchelton-Scott,",, ,,",,1,2018
30,,114,40.0,+0:10,,Howes Alex,37,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
24,,64,41.0,+0:10,,De Vos Adam,38,Rally Cycling,",, ,,",,1,2018
36,,6,42.0,+0:10,,Wynants Maarten,39,Team LottoNL-Jumbo,",, ,,",,1,2018
29,,146,43.0,+0:10,,Mirza Yousef Mohamed,40,UAE-Team Emirates,",, ,,",,1,2018
25,,13,44.0,+0:10,,Kol\xe1\u0159 Michael,41,BORA - hansgrohe,",, ,,",,1,2018
31,,94,45.0,+0:10,,Frank Mathias,42,AG2R La Mondiale,",, ,,",,1,2018
33,,72,46.0,+0:10,,Bauer Jack,43,Mitchelton-Scott,",, ,,",,1,2018
20,,66,47.0,+0:10,,McNulty Brandon,44,Rally Cycling,",, ,,",,1,2018
29,,17,48.0,+0:10,,Sagan Juraj,45,BORA - hansgrohe,",, ,,",,1,2018
26,,131,49.0,+0:10,,Arndt Nikias,46,Team Sunweb,",, ,,",,1,2018
31,,25,50.0,+0:10,,Schar Michael,47,BMC Racing Team,",, ,,",,1,2018
24,,57,51.0,+0:10,,Zabel Rick,48,Team Katusha - Alpecin,",, ,,",,1,2018
32,,4,52.0,+0:10,,Leezer Tom,49,Team LottoNL-Jumbo,",, ,,",,1,2018
28,,47,53.0,+0:10,,Vermote Julien,50,Team Dimension Data,",, ,,",,1,2018
23,,147,54.0,+0:10,,Ravasi Edward,51,UAE-Team Emirates,",, ,,",,1,2018
23,,123,55.0,+0:10,,Guerreiro Ruben,52,Trek - Segafredo,",, ,,",,1,2018
23,,117,56.0,+0:10,,Owen Logan,53,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
29,,167,57.0,+0:10,,Tvetcov Serghei,54,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
34,,21,58.0,+0:10,,Bookwalter Brent,55,BMC Racing Team,",, ,,",,1,2018
30,,144,59.0,+0:10,,Durasek Kristijan,56,UAE-Team Emirates,",, ,,",,1,2018
29,,23,60.0,+0:10,,van Garderen Tejay,57,BMC Racing Team,",, ,,",,1,2018
20,,85,61.0,+0:10,,Sivakov Pavel,58,Team Sky,",, ,,",,1,2018
22,,33,62.0,+0:10,,De Plus Laurens,59,Quick-Step Floors,",, ,,",,1,2018
22,,103,63.0,+0:10,,Bennett Sean,60,Hagens Berman Axeon,",, ,,",,1,2018
26,,127,64.0,+0:10,,Stuyven Jasper,61,Trek - Segafredo,",, ,,",,1,2018
26,,161,65.0,+0:10,,Mannion Gavin,62,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
35,,163,66.0,+0:10,,Haedo Lucas Sebastian,63,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
34,,97,67.0,+0:10,,Vandenbergh Stijn,64,AG2R La Mondiale,",, ,,",,1,2018
23,,3,68.0,+0:10,,Kuss Sepp,65,Team LottoNL-Jumbo,",, ,,",,1,2018
