Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
20.0,11,+0:20,,12.0,Craddock Lawson,11,Bontrager Livestrong Team,",, 0:20",+0:10,,\u25b21,2,2012
38.0,12,+0:20,,9.0,Hincapie George,12,BMC Racing Team,",, 0:20",+0:10,,\u25bc3,2,2012
21.0,13,+0:20,,21.0,Dumoulin Tom,13,Argos - Shimano,",, 0:20",+0:10,,\u25b28,2,2012
28.0,14,+0:20,,13.0,Sanchez Luis Leon,14,Rabobank Cycling Team,",, 0:20",+0:10,,\u25bc1,2,2012
27.0,15,+0:20,,24.0,Velits Peter,15,Omega Pharma - Quick-Step,",, 0:20",+0:10,,\u25b29,2,2012
21.0,16,+0:20,,17.0,Bardet Romain,16,AG2R La Mondiale,",, 0:20",+0:10,,\u25b21,2,2012
40.0,17,+0:20,,26.0,Horner Chris,17,RadioShack - Nissan,",, 0:20",+0:10,,\u25b29,2,2012
25.0,18,+0:20,,18.0,Duarte Fabio,18,Colombia - Coldeportes,",, 0:20",+0:10,,-,2,2012
21.0,19,+0:20,,22.0,Kelderman Wilco,19,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b23,2,2012
24.0,20,+0:20,,19.0,Meyer Cameron,20,Orica GreenEDGE,",, 0:20",+0:10,,\u25bc1,2,2012
28.0,21,+0:20,,38.0,Bookwalter Brent,21,BMC Racing Team,",, 0:20",+0:10,,\u25b217,2,2012
26.0,22,+0:20,,20.0,Machado Tiago,22,RadioShack - Nissan,",, 0:20",+0:10,,\u25bc2,2,2012
28.0,23,+0:20,,14.0,Martens Paul,23,Rabobank Cycling Team,",, 0:20",+0:10,,\u25bc9,2,2012
23.0,24,+0:20,,48.0,van Garderen Tejay,24,BMC Racing Team,",, 0:20",+0:10,,\u25b224,2,2012
25.0,25,+0:20,,43.0,Gesink Robert,25,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b218,2,2012
34.0,26,+0:20,,37.0,Danielson Thomas,26,Team Garmin - Barracuda,",, 0:20",+0:10,,\u25b211,2,2012
24.0,27,+0:20,,33.0,Atapuma John Darwin,27,Colombia - Coldeportes,",, 0:20",+0:10,,\u25b26,2,2012
23.0,28,+0:20,,28.0,Talansky Andrew,28,Team Garmin - Barracuda,",, 0:20",+0:10,,-,2,2012
31.0,29,+0:20,,27.0,Weening Pieter,29,Orica GreenEDGE,",, 0:20",+0:10,,\u25bc2,2,2012
27.0,30,+0:20,,40.0,K\xfcnzli Raimond,30,Spidertech Powered by C10,",, 0:20",+0:10,,\u25b210,2,2012
