Rider,year,stage_scores
Cummings Stephen,2018,0.0
Cunego Damiano,2013,24.0
Cunego Damiano,2014,0.0
Curvers Roy,2016,0.0
Curvers Roy,2018,0.0
D Hollander Glenn,2000,0.0
D\xe9mare Arnaud,2014,18.0
D\xe9mare Arnaud,2017,84.0
Da Cruz Carlos,2001,16.0
Da Cruz Carlos,2004,0.0
Da Dalto Mauro,2006,16.0
Da Dalto Mauro,2007,6.0
Da Dalto Mauro,2008,17.0
Da Dalto Mauro,2010,0.0
Da Dalto Mauro,2011,0.0
Dacruz Carlos,1999,17.0
Damuseau Thomas,2013,0.0
Damuseau Thomas,2014,13.0
Danielson Thomas,2007,0.0
Davis Allan,2005,13.0
Davis Scott,2006,0.0
Davis Scott,2007,0.0
Davis Scott,2008,0.0
De Clercq Bart,2013,15.0
De Clercq Bart,2014,0.0
De Clercq Bart,2015,11.0
De Clercq Bart,2016,22.0
De Gendt Thomas,2013,10.0
De Gendt Thomas,2016,0.0
De Gendt Thomas,2017,52.0
De Gendt Thomas,2018,0.0
De La Fuente David,2008,20.0
De La Fuente David,2009,7.0
De La Fuente David,2010,0.0
De Las Cuevas Armand,1998,76.0
De Marchi Alessandro,2013,35.0
De Marchi Alessandro,2014,0.0
De Marchi Alessandro,2017,0.0
De Plus Laurens,2016,6.0
De Plus Laurens,2018,14.0
De Tier Floris,2017,0.0
De Tier Floris,2018,0.0
De Vocht Wim,2010,0.0
De Waele Fabian,2001,57.0
De Weert Kevin,2004,0.0
De Weert Kevin,2009,0.0
De Weert Kevin,2010,0.0
De Weert Kevin,2012,0.0
De Weert Kevin,2014,0.0
De Wolf Steve,1998,0.0
De Wolf Steve,1999,0.0
De Wolf Steve,2000,0.0
De Wolf Steve,2001,0.0
De Wolf Steve,2002,0.0
Dean Julian,2011,0.0
Debusschere Jens,2016,54.0
Declercq Tim,2017,0.0
Defauw Dimitri,2005,12.0
Degand Thomas,2016,0.0
Degand Thomas,2017,0.0
Degand Thomas,2018,0.0
Degenkolb John,2011,94.0
Degenkolb John,2012,0.0
Degenkolb John,2016,44.0
Dehaes Kenny,2011,16.0
Dehaes Kenny,2012,0.0
Deignan Philip,2015,0.0
Dekker Erik,2004,10.0
Dekker Erik,2005,7.0
Dekker Erik,2006,0.0
Dekker Thomas,2006,0.0
Dekkers Hans,2006,0.0
Del Olmo Jose Maria,2001,29.0
Del Olmo Txema,1999,23.0
Delage Micka\xebl,2005,26.0
Delage Micka\xebl,2007,0.0
Delage Micka\xebl,2010,0.0
Delage Micka\xebl,2014,15.0
Delage Micka\xebl,2015,15.0
Delage Micka\xebl,2017,0.0
Delaplace Anthony,2010,0.0
Delrieu David,1998,0.0
Delrieu David,1999,0.0
Delrieu David,2000,0.0
Demarbaix Sebastien,1999,30.0
Demarbaix Sebastien,2000,34.0
Demarbaix Sebastien,2001,7.0
Denifl Stefan,2010,19.0
Denifl Stefan,2011,0.0
Denifl Stefan,2014,0.0
Dennis Rohan,2013,73.0
Dennis Rohan,2015,35.0
Dennis Rohan,2016,0.0
Derame Pascal,1998,0.0
Derame Pascal,1999,0.0
Desbiens Laurent,1998,18.0
Desbiens Laurent,1999,35.0
Desbiens Laurent,2000,0.0
Dessel Cyril,2002,0.0
Dessel Cyril,2003,64.0
Dessel Cyril,2004,54.0
Dessel Cyril,2005,0.0
Dessel Cyril,2006,15.0
Dessel Cyril,2007,0.0
Dessel Cyril,2008,61.0
Dessel Cyril,2009,0.0
Dessel Cyril,2010,11.0
Devenyns Dries,2012,18.0
Devenyns Dries,2014,0.0
Devolder Stijn,2005,0.0
Devolder Stijn,2006,20.0
Devolder Stijn,2009,0.0
Di Gr\xe9gorio R\xe9my,2005,0.0
Di Gr\xe9gorio R\xe9my,2006,11.0
Di Gr\xe9gorio R\xe9my,2007,24.0
Di Gr\xe9gorio R\xe9my,2008,28.0
Di Gr\xe9gorio R\xe9my,2009,0.0
Di Gr\xe9gorio R\xe9my,2010,14.0
Di Gr\xe9gorio R\xe9my,2011,9.0
Di Gr\xe9gorio R\xe9my,2012,0.0
Di Grande Giuseppe,2000,32.0
Diaz Ruben,2002,0.0
Diaz Ruben,2003,0.0
Diaz de Cerio Ruben,2002,0.0
Didier Laurent,2011,0.0
Didier Laurent,2013,0.0
Diudia Volodymyr,2007,34.0
Djavanian Viatcheslav,1998,50.0
Dlamini Nickolas,2018,0.0
Docker Mitchell,2013,0.0
Docker Mitchell,2016,0.0
Dockx Bart,2008,0.0
Dockx Gert,2010,0.0
Dockx Gert,2012,0.0
Dockx Gert,2015,0.0
Dockx Gert,2016,0.0
Doi Yukihiro,2012,0.0
Dojwa Jean-philippe,1998,0.0
Domont Axel,2017,30.0
Domont Axel,2018,0.0
Downing Russell,2010,0.0
Dowsett Alex,2015,0.0
Drancourt Pierre,2005,0.0
Duchesne Antoine,2016,0.0
Duchesne Antoine,2018,0.0
Duenas Moises,2006,0.0
Dufaux Laurent,2003,39.0
Dufaux Laurent,2004,10.0
Duggan Timothy,2009,30.0
Duggan Timothy,2013,0.0
Dumoulin Samuel,2003,20.0
