Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
21,66,137,+1:00:39,,111.0,Gougeard Alexis,137,AG2R La Mondiale,1:00:39 1:00:39,+33:56,,\u25bc26,5,2014
30,173,138,+1:01:11,,150.0,Devenyns Dries,138,Team Giant - Shimano,1:01:11 1:01:11,+24:20,,\u25b212,5,2014
24,205,139,+1:01:22,,151.0,Matzka Ralf,139,Team NetApp \u2013 Endura,1:01:22 1:01:22,+24:20,,\u25b212,5,2014
25,207,140,+1:02:42,,152.0,Schorn Daniel,140,Team NetApp \u2013 Endura,1:02:42 1:02:42,+24:20,,\u25b212,5,2014
29,162,141,+1:04:43,,153.0,Bauer Jack,141,Garmin Sharp,1:04:43 1:04:43,+24:20,,\u25b212,5,2014
35,5,142,+1:05:22,,155.0,Pate Danny,142,Team Sky,1:05:22 1:05:22,+24:20,,\u25b213,5,2014
24,136,143,+1:05:40,,132.0,Tsatevich Alexey,143,Team Katusha,1:05:40 1:05:40,+33:56,,\u25bc11,5,2014
27,82,144,+1:05:43,,134.0,Boeckmans Kris,144,Lotto Belisol,1:05:43 1:05:43,+33:56,,\u25bc10,5,2014
23,72,145,+1:05:49,,135.0,Berhane Natnael,145,Team Europcar,1:05:49 1:05:49,+33:56,,\u25bc10,5,2014
29,75,146,+1:05:55,,137.0,Jerome Vincent,146,Team Europcar,1:05:55 1:05:55,+33:56,,\u25bc9,5,2014
27,38,147,+1:08:20,,143.0,Taaram\xe4e Rein,147,"Cofidis, Solutions Cr\xe9dits",1:08:20 1:08:20,+33:56,,\u25bc4,5,2014
22,188,148,+1:10:10,,149.0,Wackermann Luca,148,Lampre - Merida,1:10:10 1:10:10,+33:56,,\u25b21,5,2014
32,2,149,+1:14:28,,154.0,Kiryienka Vasil,149,Team Sky,1:14:28 1:14:28,+33:56,,\u25b25,5,2014
29,194,150,+1:15:06,,156.0,Hivert Jonathan,150,Belkin-Pro Cycling Team,1:15:06 1:15:06,+33:56,,\u25b26,5,2014
36,57,151,+1:21:15,,157.0,Szmyd Sylwester,151,Movistar Team,1:21:15 1:21:15,+33:56,,\u25b26,5,2014
37,8,152,+1:26:23,,158.0,Zandio Xabier,152,Team Sky,1:26:23 1:26:23,+33:56,,\u25b26,5,2014
24,42,153,+1:27:35,,159.0,Howard Leigh,153,Orica GreenEDGE,1:27:35 1:27:35,+20:06,,\u25b26,5,2014
29,1,1,+0:00,,1.0,Froome Christopher,1,Team Sky,23:12:15 23:12:15,+0:00,,-,6,2014
31,21,2,+0:12,,2.0,Contador Alberto,2,Tinkoff - Saxo,0:12 0:12,+0:00,,-,6,2014
23,191,3,+0:12,,3.0,Kelderman Wilco,3,Belkin-Pro Cycling Team,",, 0:12",+0:00,,-,6,2014
25,168,4,+0:33,,4.0,Talansky Andrew,4,Garmin Sharp,0:33 0:33,+0:00,,-,6,2014
31,81,5,+0:35,,5.0,Van den Broeck Jurgen,5,Lotto Belisol,0:35 0:35,+0:00,,-,6,2014
29,11,6,+0:50,,6.0,Nibali Vincenzo,6,Astana Pro Team,0:50 0:50,+0:00,,-,6,2014
37,118,7,+1:22,,7.0,Zubeldia Haimar,7,Trek Factory Racing,1:22 1:22,+0:00,,-,6,2014
29,12,8,+1:22,,8.0,Fuglsang Jakob,8,Astana Pro Team,",, 1:22",+0:00,,-,6,2014
21,48,9,+1:24,,9.0,Yates Adam,9,Orica GreenEDGE,1:24 1:24,+0:00,,-,6,2014
27,15,10,+1:35,,10.0,Kangert Tanel,10,Astana Pro Team,1:35 1:35,+0:00,,-,6,2014
23,61,11,+1:40,,11.0,Bardet Romain,11,AG2R La Mondiale,1:40 1:40,+0:00,,-,6,2014
25,97,12,+1:40,,12.0,Reichenbach Sebastien,12,IAM Cycling,",, 1:40",+0:00,,-,6,2014
30,31,13,+1:43,,13.0,Navarro Daniel,13,"Cofidis, Solutions Cr\xe9dits",1:43 1:43,+0:00,,-,6,2014
