Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
23,138,130,+55:00,22.0,Vorobyev Anton,24,Team Katusha,54:48 54:48,,\u25bc2,5,2014
24,208,131,+55:31,30.0,Thwaites Scott,25,Team NetApp \u2013 Endura,55:19 55:19,,\u25b25,5,2014
22,155,132,+56:07,25.0,D\xe9mare Arnaud,26,FDJ.fr,55:55 55:55,,\u25bc1,5,2014
24,183,135,+59:01,29.0,Cimolai Davide,27,Lampre - Merida,58:49 58:49,,\u25b22,5,2014
21,66,137,+1:00:39,18.0,Gougeard Alexis,28,AG2R La Mondiale,1:00:27 1:00:27,,\u25bc10,5,2014
24,205,139,+1:01:22,33.0,Matzka Ralf,29,Team NetApp \u2013 Endura,1:01:10 1:01:10,,\u25b24,5,2014
24,136,143,+1:05:40,24.0,Tsatevich Alexey,30,Team Katusha,1:05:28 1:05:28,,\u25bc6,5,2014
23,72,145,+1:05:49,26.0,Berhane Natnael,31,Team Europcar,1:05:37 1:05:37,,\u25bc5,5,2014
22,188,148,+1:10:10,32.0,Wackermann Luca,32,Lampre - Merida,1:09:58 1:09:58,,-,5,2014
24,42,153,+1:27:35,34.0,Howard Leigh,33,Orica GreenEDGE,1:27:23 1:27:23,,\u25b21,5,2014
23,191,3,+0:12,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,23:12:27 23:12:27,,-,6,2014
21,48,9,+1:24,2.0,Yates Adam,2,Orica GreenEDGE,1:12 1:12,,-,6,2014
23,61,11,+1:40,3.0,Bardet Romain,3,AG2R La Mondiale,1:28 1:28,,-,6,2014
25,97,12,+1:40,4.0,Reichenbach Sebastien,4,IAM Cycling,",, 1:28",,-,6,2014
22,151,26,+6:09,5.0,Elissonde Kenny,5,FDJ.fr,5:57 5:57,,-,6,2014
21,184,37,+10:21,9.0,Conti Valerio,6,Lampre - Merida,10:09 10:09,,\u25b23,6,2014
24,141,44,+11:18,6.0,Kwiatkowski Michal,7,Omega Pharma - Quick-Step,11:06 11:06,,\u25bc1,6,2014
24,102,52,+14:51,7.0,Bennett George,8,Cannondale,14:39 14:39,,\u25bc1,6,2014
21,148,53,+15:19,8.0,Verona Carlos,9,Omega Pharma - Quick-Step,15:07 15:07,,\u25bc1,6,2014
25,171,71,+22:18,12.0,Damuseau Thomas,10,Team Giant - Shimano,22:06 22:06,,\u25b22,6,2014
24,27,74,+23:49,10.0,Beltran Edward,11,Tinkoff - Saxo,23:37 23:37,,\u25bc1,6,2014
21,111,82,+27:46,11.0,Jungels Bob,12,Trek Factory Racing,27:34 27:34,,\u25bc1,6,2014
22,142,83,+28:06,13.0,Alaphilippe Julian,13,Omega Pharma - Quick-Step,27:54 27:54,,-,6,2014
21,43,92,+34:54,14.0,Howson Damien,14,Orica GreenEDGE,34:42 34:42,,-,6,2014
22,172,99,+37:40,15.0,Arndt Nikias,15,Team Giant - Shimano,37:28 37:28,,-,6,2014
22,198,102,+41:55,16.0,van der Lijke Nick,16,Belkin-Pro Cycling Team,41:43 41:43,,-,6,2014
24,56,111,+46:55,18.0,Sanz Enrique,17,Movistar Team,46:43 46:43,,\u25b21,6,2014
25,186,112,+48:25,17.0,Favilli Elia,18,Lampre - Merida,48:13 48:13,,\u25bc1,6,2014
24,83,113,+49:59,19.0,Broeckx Stig,19,Lotto Belisol,49:47 49:47,,-,6,2014
22,22,119,+53:03,22.0,Valgren Michael,20,Tinkoff - Saxo,52:51 52:51,,\u25b22,6,2014
