stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Individual Time Trial - Monaco › Monaco,CANCELLARA Fabian,Cancellara Fabian,2009,0,1,0,0,0
1.0,Stage 2 - Monaco › Brignoles,CAVENDISH Mark,Cancellara Fabian,2009,1,0,0,0,1
1.0,Stage 3 - Marseille › La Grande-Motte,CAVENDISH Mark,Cancellara Fabian,2009,2,0,0,0,1
0.0,Team Time Trial - Montpellier › Montpellier,AG2R La Mondiale,Cancellara Fabian,2009,3,0,1,0,0
0.0,Stage 5 - Cap d’Agde › Perpignan,VOECKLER Thomas,Cancellara Fabian,2009,4,0,0,0,1
0.0,Stage 6 - Gerona › Barcelona,HUSHOVD Thor,Cancellara Fabian,2009,5,0,0,0,1
0.0,Stage 7 - Barcelona › Andorra Arcalis,FEILLU Brice,Nocentini Rinaldo,2009,6,0,0,0,1
0.0,Stage 8 - Andorra-la-Vella › Saint-Girons,SANCHEZ Luis Leon,Nocentini Rinaldo,2009,7,0,0,0,1
0.0,Stage 9 - Saint-Gaudens › Tarbes,FEDRIGO Pierrick,Nocentini Rinaldo,2009,8,0,0,0,1
1.0,Stage 10 - Limoges › Issoudun,CAVENDISH Mark,Nocentini Rinaldo,2009,9,0,0,0,1
1.0,Stage 11 - Vatan › Saint-Fargeau,CAVENDISH Mark,Nocentini Rinaldo,2009,10,0,0,0,1
0.0,Stage 12 - Tonnerre › Vittel,SØRENSEN Nicki,Nocentini Rinaldo,2009,11,0,0,0,1
0.0,Stage 13 - Vittel › Colmar,HAUSSLER Heinrich,Nocentini Rinaldo,2009,12,0,0,0,1
0.0,Stage 14 - Colmar › Besançon,IVANOV Serguei,Nocentini Rinaldo,2009,13,0,0,0,1
0.0,Stage 15 - Pontarlier › Verbier,CONTADOR Alberto,Contador Alberto,2009,14,0,0,0,1
0.0,Stage 16 - Martigny › Bourg-Saint-Maurice,CASAR Sandy,Contador Alberto,2009,15,0,0,0,1
0.0,Stage 17 - Bourg-Saint-Maurice › Le Grand Bornand,SCHLECK Fränk,Contador Alberto,2009,16,0,0,0,1
0.0,Stage 18 (ITT) - Annecy › Annecy,CONTADOR Alberto,Contador Alberto,2009,17,1,0,0,0
0.0,Stage 19 - Bourgoin-Jallieu › Aubenas,CAVENDISH Mark,Contador Alberto,2009,18,0,0,0,1
0.0,Stage 20 - Montélimar › Mont Ventoux,GARATE Juan Manuel,Contador Alberto,2009,19,0,0,0,1
0.0,Stage 21 - Montereau › Paris,CAVENDISH Mark,Contador Alberto,2009,20,0,0,0,1
0.0,Stage 1 - Brest › Plumelec,VALVERDE Alejandro,Valverde Alejandro,2008,0,0,0,0,1
0.0,Stage 2 - Auray › Saint-Brieuc,HUSHOVD Thor,Valverde Alejandro,2008,1,0,0,0,1
0.0,Stage 3 - Saint Malo › Nantes,DUMOULIN Samuel,Feillu Romain,2008,2,0,0,0,1
0.0,Stage 4 (ITT) - Cholet › Cholet,SCHUMACHER Stefan,Schumacher Stefan,2008,3,1,0,0,0
1.0,Stage 5 - Cholet › Châteauroux,CAVENDISH Mark,Schumacher Stefan,2008,4,0,0,0,1
0.0,Stage 6 - Aigurande › SuperBesse,VALVERDE Alejandro,Kirchen Kim,2008,5,0,0,0,1
0.0,Stage 7 - Brioude › Aurillac,SANCHEZ Luis Leon,Kirchen Kim,2008,6,0,0,0,1
1.0,Stage 8 - Figeac › Toulouse,CAVENDISH Mark,Kirchen Kim,2008,7,0,0,0,1
0.0,Stage 9 - Toulouse › Bagnères de Bigorre,EFIMKIN Vladimir,Kirchen Kim,2008,8,0,0,0,1
0.0,Stage 10 - Pau › Hautacam,COBO Juan Jose,Evans Cadel,2008,9,0,0,0,1
0.0,Stage 11 - Lannemezan › Foix,ARVESEN Kurt-Asle,Evans Cadel,2008,10,0,0,0,1
1.0,Stage 12 - Lavelanet › Narbonne,CAVENDISH Mark,Evans Cadel,2008,11,0,0,0,1
1.0,Stage 13 - Narbonne › Nîmes,CAVENDISH Mark,Evans Cadel,2008,12,0,0,0,1
0.0,Stage 14 - Nîmes › Digne-les-Bains,FREIRE Oscar,Evans Cadel,2008,13,0,0,0,1
0.0,Stage 15 - Embrun › Prato Nevoso,GERRANS Simon,Schleck Fränk,2008,14,0,0,0,1
0.0,Stage 16 - Cuneo › Jausiers,DESSEL Cyril,Schleck Fränk,2008,15,0,0,0,1
0.0,Stage 17 - Embrun › l'Alpe d'Huez,SASTRE Carlos,Sastre Carlos,2008,16,0,0,0,1
0.0,Stage 18 - Bourg d'Oisans › Saint-Etienne,BURGHARDT Marcus,Sastre Carlos,2008,17,0,0,0,1
