,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
4012,36,94.0,Eisel Bernhard,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4013,36,94.0,Hunt Jeremy,2010,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
4014,36,97.0,Sutherland Rory,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4015,36,104.0,Bramati Davide,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4016,36,104.0,Gilbert Philippe,2018,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,22.0
4017,36,112.0,Curvers Roy,2016,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0
4018,36,125.0,Fernandez Bingen,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4019,36,128.0,Tafi Andrea,2002,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0
4020,36,129.0,Voeckler Thomas,2015,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0
4021,36,132.0,Baldato Fabio,2004,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
4022,36,133.0,Freire Oscar,2012,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0
