Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
31,,141,23,+0:18,70.0,McEwen Robbie,2,Lotto - Domo,",, ,,",1,2003
32,,29,75,+0:30,50.0,Zabel Erik,3,Team Telekom,",, ,,",1,2003
29,,111,57,+0:26,40.0,Bettini Paolo,4,Quickstep - Davitamon,",, ,,",1,2003
24,,93,48,+0:24,32.0,Cooke Baden,5,Fdjeux.com,",, ,,",1,2003
25,,125,19,+0:17,26.0,Hushovd Thor,6,Cr\xe9dit Agricole,",, ,,",1,2003
27,,44,37,+0:22,22.0,Freire Oscar,7,Rabobank ProTeam,",, ,,",1,2003
26,,116,132,+0:40,18.0,Paolini Luca,8,Quickstep - Davitamon,",, ,,",1,2003
30,,168,70,+0:28,14.0,Vainsteins Romans,9,Vini Calderola - So.di,",, ,,",1,2003
33,,156,39,+0:23,10.0,Kirsipuu Jaan,10,AG2R Pr\xe9voyance,",, ,,",1,2003
25,,193,36,+0:22,8.0,Haselbacher Rene,11,Gerolsteiner,",, ,,",1,2003
29,,186,179,+0:50,6.0,Nazon Damien,12,Brioches La Boulang\xe8re,",, ,,",1,2003
29,,127,61,+0:26,4.0,O'Grady Stuart,13,Cr\xe9dit Agricole,",, ,,",1,2003
26,,219,30,+0:20,2.0,Nazon Jean-Patrick,14,Jean Delatour,",, ,,",1,2003
28,,56,188,+0:54,1.0,Glomser Gerrit,15,Saeco,",, ,,",1,2003
31,,136,121,+0:38,,Guidi Fabrizio,16,Team Bianchi,",, ,,",1,2003
28,,94,115,+0:38,,Da Cruz Carlos,17,Fdjeux.com,",, ,,",1,2003
26,,62,193,+1:01,,Clain M\xe9d\xe9ric,18,Cofidis,",, ,,",1,2003
28,,153,127,+0:40,,Botcharov Alexandre,19,AG2R Pr\xe9voyance,",, ,,",1,2003
26,,19,78,+0:31,,Vicioso \xc1ngel,20,O.N.C.E. - Eroski,",, ,,",1,2003
25,,206,169,+0:46,,Furlan Angelo,21,Alessio,",, ,,",1,2003
26,,45,79,+0:31,,Hunter Robert,22,Rabobank ProTeam,",, ,,",1,2003
29,,89,68,+0:28,,Velo Marco,23,Fassa Bortolo,",, ,,",1,2003
25,,178,88,+0:33,,S\xe1nchez Samuel,24,Euskaltel - Euskadi,",, ,,",1,2003
23,,184,186,+0:53,,Geslin Anthony,25,Brioches La Boulang\xe8re,",, ,,",1,2003
23,,187,126,+0:39,,Pineau J\xe9rome,26,Brioches La Boulang\xe8re,",, ,,",1,2003
29,,131,4,+0:06,,Ullrich Jan,27,Team Bianchi,",, ,,",1,2003
35,,151,21,+0:17,,Brochard Laurent,28,AG2R Pr\xe9voyance,",, ,,",1,2003
31,,148,97,+0:34,,van Bon L\xe9on,29,Lotto - Domo,",, ,,",1,2003
29,,124,178,+0:50,,Hinault S\xe9bastien,30,Cr\xe9dit Agricole,",, ,,",1,2003
23,,117,20,+0:17,,Rogers Michael,31,Quickstep - Davitamon,",, ,,",1,2003
29,,161,137,+0:41,,Garzelli Stefano,32,Vini Calderola - So.di,",, ,,",1,2003
32,,121,135,+0:41,,Moreau Christophe,33,Cr\xe9dit Agricole,",, ,,",1,2003
28,,159,147,+0:43,,Turpin Ludovic,34,AG2R Pr\xe9voyance,",, ,,",1,2003
34,,48,28,+0:20,,Wauters Marc,35,Rabobank ProTeam,",, ,,",1,2003
30,,64,35,+0:22,,Gaumont Philippe,36,Cofidis,",, ,,",1,2003
27,,35,74,+0:29,,Lastras Pablo,37,Ibanesto.com,",, ,,",1,2003
27,,31,103,+0:35,,Mancebo Francisco,38,Ibanesto.com,",, ,,",1,2003
25,,171,44,+0:23,,Mayo Iban,39,Euskaltel - Euskadi,",, ,,",1,2003
29,,28,73,+0:29,,Vinokourov Alexandre,40,Team Telekom,",, ,,",1,2003
26,,179,3,+0:06,,Zubeldia Haimar,41,Euskaltel - Euskadi,",, ,,",1,2003
26,,15,24,+0:18,,Jaksche Jorg,42,O.N.C.E. - Eroski,",, ,,",1,2003
28,,17,116,+0:38,,Pradera Mikel,43,O.N.C.E. - Eroski,",, ,,",1,2003
29,,11,9,+0:13,,Beloki Joseba,44,O.N.C.E. - Eroski,",, ,,",1,2003
25,,16,50,+0:24,,Nozal Isidro,45,O.N.C.E. - Eroski,",, ,,",1,2003
26,,176,150,+0:43,,Landaluze Inigo,46,Euskaltel - Euskadi,",, ,,",1,2003
