Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
24,123,+14:06,144,Lodewyck Klaas,123,BMC Racing Team,14:06 14:06,+0:00,\u25b221,2,2012
22,124,+14:10,145,Trentin Matteo,124,Omega Pharma - Quick-Step,14:10 14:10,+0:00,\u25b221,2,2012
24,125,+14:13,149,Guarnieri Jacopo,125,Astana Pro Team,14:13 14:13,+0:00,\u25b224,2,2012
30,126,+14:16,153,Colli Daniele,126,Team Type 1 - SANOFI,14:16 14:16,+0:00,\u25b227,2,2012
27,127,+14:28,133,M\xf8rk\xf8v Michael,127,Team Saxo Bank - Tinkoff Bank,14:28 14:28,+0:39,\u25b26,2,2012
27,128,+15:20,150,Vigano Davide,128,Lampre - ISD,15:20 15:20,+1:07,\u25b222,2,2012
31,129,+16:15,67,Lagutin Sergey,129,Vacansoleil - DCM,16:15 16:15,+10:59,\u25bc62,2,2012
23,130,+16:21,91,Agostini Stefano,130,Liquigas - Cannondale,16:21 16:21,+7:42,\u25bc39,2,2012
26,131,+16:22,92,Konovalovas Ignatas,131,Movistar Team,16:22 16:22,+7:42,\u25bc39,2,2012
29,132,+16:45,103,Bonnet William,132,FDJ - BigMat,16:45 16:45,+7:42,\u25bc29,2,2012
27,133,+16:47,104,Mortensen Martin,133,Vacansoleil - DCM,16:47 16:47,+7:42,\u25bc29,2,2012
29,134,+16:47,105,Kaisen Olivier,134,Lotto Belisol Team,",, 16:47",+7:42,\u25bc29,2,2012
27,135,+16:49,107,Pineau C\xe9dric,135,FDJ - BigMat,16:49 16:49,+7:42,\u25bc28,2,2012
25,136,+17:21,111,Fairly Caleb,136,Spidertech Powered by C10,17:21 17:21,+7:42,\u25bc25,2,2012
38,137,+18:08,114,O'Grady Stuart,137,Orica GreenEDGE,18:08 18:08,+7:42,\u25bc23,2,2012
25,138,+18:11,115,Vinther Troels,138,Team Saxo Bank - Tinkoff Bank,18:11 18:11,+7:42,\u25bc23,2,2012
24,139,+18:12,116,B\xe9rard Julien,139,AG2R La Mondiale,18:12 18:12,+7:42,\u25bc23,2,2012
38,140,+18:22,123,Hondo Danilo,140,Lampre - ISD,18:22 18:22,+7:42,\u25bc17,2,2012
25,141,+18:31,146,van Genechten Jonas,141,Lotto Belisol Team,18:31 18:31,+4:20,\u25b25,2,2012
24,142,+19:17,75,Meyer Cameron,142,Orica GreenEDGE,19:17 19:17,+13:20,\u25bc67,2,2012
32,143,+19:56,102,Boucher David,143,FDJ - BigMat,19:56 19:56,+10:54,\u25bc41,2,2012
23,144,+21:42,139,Viviani Elia,144,Liquigas - Cannondale,21:42 21:42,+7:42,\u25bc5,2,2012
35,145,+21:54,147,Paolini Luca,145,Team Katusha,21:54 21:54,+7:42,\u25b22,2,2012
25,146,+21:54,148,Kruopis Aidis,146,Orica GreenEDGE,",, 21:54",+7:42,\u25b22,2,2012
23,147,+21:57,151,Boivin Guillaume,147,Spidertech Powered by C10,21:57 21:57,+7:42,\u25b24,2,2012
22,148,+21:57,152,Boily David,148,Spidertech Powered by C10,",, 21:57",+7:42,\u25b24,2,2012
31,149,+22:00,154,Steegmans Gert,149,Omega Pharma - Quick-Step,22:00 22:00,+7:42,\u25b25,2,2012
26,150,+22:00,155,Bole Grega,150,Lampre - ISD,",, 22:00",+7:42,\u25b25,2,2012
22,151,+25:03,143,Novikov Nikita,151,Vacansoleil - DCM,25:03 25:03,+10:57,\u25bc8,2,2012
30,152,+25:22,157,Sohrabi Mehdi,152,Lotto Belisol Team,25:22 25:22,+10:57,\u25b25,2,2012
24,153,+26:53,159,Anderson Ryan,153,Spidertech Powered by C10,26:53 26:53,+7:42,\u25b26,2,2012
29,154,+27:11,135,Anton Igor,154,Euskaltel - Euskadi,27:11 27:11,+13:20,\u25bc19,2,2012
32,155,+27:13,138,Urtasun Pablo,155,Euskaltel - Euskadi,27:13 27:13,+13:20,\u25bc17,2,2012
23,156,+27:25,142,Robert Fr\xe9derique,156,Lotto Belisol Team,27:25 27:25,+13:20,\u25bc14,2,2012
34,157,+27:44,156,Wilson Matthew,157,Orica GreenEDGE,27:44 27:44,+13:20,\u25bc1,2,2012
22,158,+29:34,158,Blythe Adam,158,BMC Racing Team,29:34 29:34,+10:57,-,2,2012
29,159,+33:02,160,Routley Will,159,Spidertech Powered by C10,33:02 33:02,+13:20,\u25b21,2,2012
25,1,+0:00,1,Costa Rui,1,Movistar Team,15:43:52 15:43:52,+0:00,-,3,2012
32,2,+0:08,2,Schleck Fr\xe4nk,2,RadioShack - Nissan,0:08 0:08,+0:00,-,3,2012
26,3,+0:15,3,Kreuziger Roman,3,Astana Pro Team,0:15 0:15,+0:00,-,3,2012
22,4,+0:19,4,Pinot Thibaut,4,FDJ - BigMat,0:19 0:19,+0:00,-,3,2012
27,5,+0:21,5,Roche Nicolas,5,AG2R La Mondiale,0:21 0:21,+0:00,-,3,2012
28,6,+0:21,6,L\xf6fkvist Thomas,6,Sky Procycling,",, 0:21",+0:00,-,3,2012
32,7,+0:23,7,Valverde Alejandro,7,Movistar Team,0:23 0:23,+0:00,-,3,2012
33,8,+0:24,8,Gadret John,8,AG2R La Mondiale,0:24 0:24,+0:00,-,3,2012
28,9,+0:26,9,Nieve Mikel,9,Euskaltel - Euskadi,0:26 0:26,+0:00,-,3,2012
34,10,+0:29,10,Danielson Thomas,10,Team Garmin - Barracuda,0:29 0:29,+0:00,-,3,2012
25,11,+0:32,11,Ki\u0161erlovski Robert,11,Astana Pro Team,0:32 0:32,+0:00,-,3,2012
27,12,+0:33,12,Fuglsang Jakob,12,RadioShack - Nissan,0:33 0:33,+0:00,-,3,2012
38,13,+0:37,13,Leipheimer Levi,13,Omega Pharma - Quick-Step,0:37 0:37,+0:00,-,3,2012
27,14,+0:40,14,S\xf8rensen Chris Anker,14,Team Saxo Bank - Tinkoff Bank,0:40 0:40,+0:00,-,3,2012
