Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,105,+11:43,102.0,Klemme Dominic,105,Argos - Shimano,11:43 11:43,+8:06,,\u25bc3,4,2012
21,106,+12:29,109.0,Phinney Taylor,106,BMC Racing Team,12:29 12:29,+1:07,,\u25b23,4,2012
29,107,+12:33,105.0,Benenati Cristian,107,Farnese Vini-Neri-Sottoli,12:33 12:33,+8:16,,\u25bc2,4,2012
34,108,+13:20,108.0,Hushovd Thor,108,BMC Racing Team,13:20 13:20,+1:58,,-,4,2012
24,109,+13:21,110.0,van Winden Dennis,109,Rabobank Cycling Team,13:21 13:21,+1:58,,\u25b21,4,2012
28,110,+14:38,113.0,Crawford Jai,110,Genesys Wealth Advisers,14:38 14:38,+1:58,,\u25b23,4,2012
25,111,+16:10,118.0,Sys Klaas,111,Team Bridgestone Anchor,16:10 16:10,+1:58,,\u25b27,4,2012
26,112,+19:08,111.0,Sonnery Blaise,112,Team Bridgestone Anchor,19:08 19:08,+6:51,,\u25bc1,4,2012
28,113,+19:22,112.0,Rabon Frantisek,113,Omega Pharma - Quick-Step,19:22 19:22,+6:51,,\u25bc1,4,2012
39,114,+19:28,115.0,Rodgers Lee,114,CCN Cycling Team,19:28 19:28,+6:48,,\u25b21,4,2012
28,115,+19:31,114.0,Coutts Alex,115,RTS Racing Team,19:31 19:31,+6:51,,\u25bc1,4,2012
30,116,+20:26,116.0,Inoue Kazuo,116,Team Bridgestone Anchor,20:26 20:26,+6:51,,-,4,2012
22,117,+20:57,117.0,Yoshida Hayato,117,Team Bridgestone Anchor,20:57 20:57,+6:51,,-,4,2012
25,118,+22:00,119.0,Jiao Pengda,118,Champion System Pro Cycling Team,22:00 22:00,+6:51,,\u25b21,4,2012
24,119,+22:02,120.0,Nishizono Ryota,119,Team Bridgestone Anchor,22:02 22:02,+6:51,,\u25b21,4,2012
28,120,+24:43,122.0,Xu Gang,120,Champion System Pro Cycling Team,24:43 24:43,+6:51,,\u25b22,4,2012
23,121,+29:35,121.0,Huang Chin-lung,121,RTS Racing Team,29:35 29:35,+13:37,,-,4,2012
26,122,+40:13,123.0,Chang Wei Kei,122,RTS Racing Team,40:13 40:13,+13:37,,\u25b21,4,2012
33,123,+40:28,124.0,Kudentsov Sergei,123,,40:28 40:28,+13:37,,\u25b21,4,2012
31,1,+0:00,1.0,Boonen Tom,1,Omega Pharma - Quick-Step,13:21:30 13:21:30,+0:00,10.0,-,5,2012
