Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
33,27,18.0,8.0,Sanchez Luis Leon,8,Astana Pro Team,,-,12,2017
34,91,17.0,,Firsanov Sergey,9,Gazprom-RusVelo,,-,12,2017
30,61,17.0,9.0,Rolland Pierre,10,Cannondale-Drapac Pro Cycling Team,,\u25bc1,12,2017
26,181,16.0,10.0,Dumoulin Tom,11,Team Sunweb,,\u25bc1,12,2017
29,146,15.0,11.0,Janse van Rensburg Jacques,12,Team Dimension Data,,\u25bc1,12,2017
23,33,15.0,12.0,Andreetta Simone,13,Bardiani - CSF,,\u25bc1,12,2017
25,37,15.0,,Maestri Mirco,14,Bardiani - CSF,,-,12,2017
30,179,12.0,13.0,Thomas Geraint,15,Team Sky,,\u25bc2,12,2017
33,204,10.0,,Marcato Marco,16,UAE Team Emirates,,-,12,2017
29,52,9.0,14.0,Benedetti Cesare,17,BORA - hansgrohe,,\u25bc3,12,2017
30,191,9.0,15.0,Mollema Bauke,18,Trek - Segafredo,,\u25bc3,12,2017
25,58,8.0,16.0,P\xf6stlberger Lukas,19,BORA - hansgrohe,,\u25bc3,12,2017
32,22,8.0,17.0,Cataldo Dario,20,Astana Pro Team,,\u25bc3,12,2017
34,9,8.0,18.0,Visconti Giovanni,21,Bahrain Merida Pro Cycling Team,,\u25bc3,12,2017
27,171,8.0,19.0,Landa Mikel,22,Team Sky,,\u25bc3,12,2017
34,142,8.0,20.0,Anton Igor,23,Team Dimension Data,,\u25bc3,12,2017
25,68,7.0,21.0,Villella Davide,24,Cannondale-Drapac Pro Cycling Team,,\u25bc3,12,2017
35,92,7.0,22.0,Brutt Pavel,25,Gazprom-RusVelo,,\u25bc3,12,2017
32,1,6.0,23.0,Nibali Vincenzo,26,Bahrain Merida Pro Cycling Team,,\u25bc3,12,2017
30,201,6.0,24.0,Costa Rui,27,UAE Team Emirates,,\u25bc3,12,2017
